95	pn	NOT_KNOWN	0.000529803
380	pp	ab	0.00211921
46	pp	dt	0.000256536
0	pp	ha	0
0	pp	in	0
818	pp	jj	0.00456188
147	pp	kn	0.0008198
760	pp	pc	0.00423842
3725	pp	nn	0.0207738
600	pp	pl	0.00334612
251	pp	pm	0.00139979
47	pp	pn	0.000262113
270	pp	pp	0.00150576
0	pp	rg	0
0	pp	ps	0
71	pp	sn	0.000395958
2182	pp	vb	0.0121687
1339	pp	NOT_KNOWN	0.00746743
9	rg	ab	5.01918e-05
10	rg	dt	5.57687e-05
8	rg	ha	4.4615e-05
53	rg	jj	0.000295574
0	rg	kn	0
1	rg	pc	5.57687e-06
131	rg	nn	0.00073057
12	rg	pm	6.69225e-05
10	rg	pn	5.57687e-05
8	rg	rg	4.4615e-05
0	rg	ro	0
69	rg	vb	0.000384804
61	rg	NOT_KNOWN	0.000340189
272	ps	ab	0.00151691
0	ps	in	0
13	ps	jj	7.24993e-05
252	ps	kn	0.00140537
30	ps	nn	0.000167306
7	ps	pl	3.90381e-05
6	ps	pm	3.34612e-05
259	ps	pp	0.00144441
0	ps	sn	0
3	ps	vb	1.67306e-05
0	ps	NOT_KNOWN	0
8	ro	jj	4.4615e-05
0	ro	kn	0
0	ro	pc	0
63	ro	nn	0.000351343
56	ro	pm	0.000312305
0	ro	pn	0
1	ro	vb	5.57687e-06
0	ro	NOT_KNOWN	0
0	pad	in	0
0	pad	jj	0
2	pad	pc	1.11537e-05
7	pad	nn	3.90381e-05
0	pad	pm	0
7	pad	vb	3.90381e-05
5	pad	NOT_KNOWN	2.78844e-05
334	sn	ab	0.00186268
9	sn	ha	5.01918e-05
0	sn	in	0
85	sn	jj	0.000474034
136	sn	kn	0.000758455
42	sn	pc	0.000234229
774	sn	nn	0.0043165
23	sn	pl	0.000128268
392	sn	pm	0.00218613
98	sn	pp	0.000546533
0	sn	ps	0
60	sn	sn	0.000334612
338	sn	vb	0.00188498
370	sn	NOT_KNOWN	0.00206344
783	vb	ab	0.00436669
12	vb	dt	6.69225e-05
10	vb	ha	5.57687e-05
0	vb	ie	0
0	vb	hp	0
26	vb	in	0.000144999
891	vb	jj	0.00496899
328	vb	kn	0.00182921
484	vb	pc	0.00269921
4445	vb	nn	0.0247892
377	vb	pl	0.00210248
1143	vb	pm	0.00637436
325	vb	pn	0.00181248
409	vb	pp	0.00228094
4	vb	rg	2.23075e-05
23	vb	ps	0.000128268
315	vb	ro	0.00175671
0	vb	pad	0
228	vb	sn	0.00127153
1429	vb	vb	0.00796935
856	vb	NOT_KNOWN	0.0047738
94	NOT_KNOWN	ab	0.000524226
0	NOT_KNOWN	dt	0
0	NOT_KNOWN	ha	0
0	NOT_KNOWN	in	0
359	NOT_KNOWN	jj	0.0020021
4	NOT_KNOWN	kn	2.23075e-05
33	NOT_KNOWN	pc	0.000184037
975	NOT_KNOWN	nn	0.00543745
80	NOT_KNOWN	pl	0.00044615
166	NOT_KNOWN	pm	0.000925761
20	NOT_KNOWN	pn	0.000111537
11	NOT_KNOWN	pp	6.13456e-05
1	NOT_KNOWN	rg	5.57687e-06
0	NOT_KNOWN	ps	0
0	NOT_KNOWN	ro	0
0	NOT_KNOWN	sn	0
295	NOT_KNOWN	vb	0.00164518
362	NOT_KNOWN	NOT_KNOWN	0.00201883
